"Apr 18, 2024,K1 0 23 056,Filter strainer,aliran air pada toilet pria pelan,dilakukan pembersihan filter strainer,1,https://drive.google.com/open?id=1KIMyn55Nt-8jeoARWdUjh2Z4_nYmI32q"
"Apr 18, 2024,K1 0 24 013,Filter strainer,""temuan lintas toilet pria dan wanita air mengalir kecil, melakukan pengecekan pompa bekerja dengan baik,indikasi filter trainer kotor (open)"",""di lakukan pembersihan filter stainer, hasil air lavatory baik/normal. (close)"",1,-"
"Apr 18, 2024,K1 0 23 053,Filter strainer,Aliran Toilet pira mengalir pelan,dilakukan pembersiha filter strainer,1,https://drive.google.com/open?id=1_p7s2lPW072j8IXi0mv77gSEbp9GuFrN"
"Apr 17, 2024,K1 0 23 038,Filter strainer,""temuan : aliran air wastafel toilet pria mengalir sedikit/tidak lancar. indikasi pertama air supply dari water tank habis. indikasi kedua filter perpipaan air dari water tank ke pompa kotor."
"Apr 17, 2024,K1 0 23 046,Filter strainer,Air toilet Male kecil pompa bekerja indikasi filter strainer kotor belum sempat TDL kereta sudah langsir (Open),-,1,-"
"Apr 16, 2024,K1 0 23 053,Filter strainer,Aliran air pada toilet pria pelan pelan dan mati,""TDL dilakukan pembersihan filter strainer, hasil air yang keluar lancar."",1,-"
"Apr 16, 2024,K1 0 23 059,Filter strainer,""Aliran air pada toilet pria pelan pelan dan mati TDL dilakukan pemindahan boster pum 1 ke Boster Pum 2 hasil masih sama. (Open)"",""TDL dilakukan pembersihan filter strainer, hasil air yang keluar lancar."",1,-"
"Apr 16, 2024,K1 0 23 052,Filter strainer,Aliran Air pada toilet pria pelan,dilakukan pembersihan filter strainer,1,https://drive.google.com/open?id=1VAfg9OgST_iDkejvGYl2wuCVuZVwVk-b"
"Apr 16, 2024,K1 0 23 058,Filter strainer,aliran Air pada toilet pria pelan,dilakukan pembersihan filter strainer,1,https://drive.google.com/open?id=1ZWwb34awY7WBamUSRT5ZRFCz4YkmTz4I"
"Apr 15, 2024,K1 0 23 024,Filter strainer,""Aliran air di toilet wanita kecil, pompa normal.(open)"",TL dibersihkan saluran filter sudah kembali normal. (Close),1,-"
